provincia,tipo de averia y emergencia,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,ano
santo domingo,riesgo de vida,0,0,0,0,0,0,0,0,0,1,6,0,2019
distrito nacional,alumbrado publico,0,0,0,0,0,0,0,0,0,0,0,0,2020
distrito nacional,falta de energia,2060,1604,1420,909,1437,1543,1766,2138,2287,2316,2325,2109,2020
distrito nacional,niveles de tension,473,365,327,164,306,280,291,362,477,541,539,373,2020
distrito nacional,otros,0,0,0,4,5,0,0,0,0,0,0,0,2020
distrito nacional,probable defecto o falla,11,9,5,0,0,4,9,9,12,8,5,6,2020
distrito nacional,riesgo de vida,239,168,131,108,169,154,188,315,254,236,233,170,2020
el seibo,falta de energia,525,385,376,146,264,297,334,379,372,324,383,331,2020
el seibo,niveles de tension,43,33,30,13,21,27,31,31,38,25,29,34,2020
el seibo,otros,0,0,0,0,0,0,0,0,0,0,0,0,2020
el seibo,probable defecto o falla,1,1,0,2,3,1,0,3,0,1,0,3,2020
el seibo,riesgo de vida,72,59,36,28,45,29,36,73,51,28,41,28,2020
hato mayor,falta de energia,476,346,337,212,389,317,358,456,404,348,396,342,2020
hato mayor,niveles de tension,64,51,31,18,21,32,32,46,55,55,45,49,2020
hato mayor,otros,0, -   ,0,0,0,0,0,0,0,0,0,0,2020
hato mayor,probable defecto o falla,1,2,2,0,5,5,2,4,1,1,1,2,2020
hato mayor,riesgo de vida,52,49,32,33,46,52,54,94,61,37,53,49,2020
la altagracia,falta de energia,1286,971,952,522,966,904,905,1077,1063,1023,799,840,2020
la altagracia,niveles de tension,181,160,124,78,150,131,137,175,172,143,125,100,2020
la altagracia,otros,0, -   ,0,0,0,0,0,0,0,0,0,0,2020
la altagracia,probable defecto o falla,6,1,3,1,1,1,1,2,3,3,2,2,2020
la altagracia,riesgo de vida,168,158,146,85,151,143,154,199,180,171,150,76,2020
la romana,alumbrado publico,0,0,0,0,0,0,0,1,0,0,0,0,2020
la romana,falta de energia,1227,950,740,579,915,976,998,1294,1243,1116,966,854,2020
la romana,niveles de tension,197,186,143,92,142,144,164,218,234,185,177,142,2020
la romana,otros,0,2,0,0,0,0,0,0,0,0,0,0,2020
la romana,probable defecto o falla,2,1,1,0,1,4,2,1,2,4,3,1,2020
la romana,riesgo de vida,162,125,74,79,99,106,164,209,185,122,103,105,2020
monte plata,falta de energia,532,409,449,306,421,526,616,708,571,595,564,465,2020
monte plata,niveles de tension,54,42,40,29,41,55,66,82,84,85,59,38,2020
monte plata,otros,1, -   ,0,1,1,0,0,0,0,0,0,0,2020
monte plata,probable defecto o falla,8,5,6,2,1,6,6,13,10,7,5,9,2020
monte plata,riesgo de vida,157,152,98,60,112,122,119,252,122,111,111,138,2020
san pedro de macoris,alumbrado publico,890,0,0,0,1,0,0,0,0,0,0,0,2020
san pedro de macoris,falta de energia,139,775,643,407,681,796,743,1374,1096,1110,1066,884,2020
san pedro de macoris,niveles de tension,0,110,109,55,152,124,96,153,162,152,171,129,2020
